Mixture	Tgd	CD8_Tem	Tte	MAIT	NK	Treg	CD4_Tem	CD8_Tem_PD1	Naive_like	HLADR_CD8	Tex	P-value	Correlation	RMSE
TCGA.AA.3518.01A.02R.0826.07	0.054453070424364	0.202405471210501	0.105674489933891	0.0560252354224119	0.0774034732041859	0.0787580062982821	0.108900069234481	0.028389727488965	0.0996586384907404	0.105082510601661	0.0832493076905163	0	0.727961138216627	0.729808200970493
TCGA.AA.3518.11A.01R.1672.07	0.0287350407966335	0.109783705228357	0.113390021053066	0.0361408525740993	0.0818205426257655	0.0438317443101444	0.157674711596883	0.0989746590585775	0.0561168978252696	0.20529649880427	0.0682353261269341	0	0.628543761354515	0.781292487093447
TCGA.AA.3519.01A.02R.0821.07	0.0508024929846096	0.122642490576345	0.102640178569351	0.0494064807373383	0.078148378259526	0.0661027760586727	0.115783744308009	0.0731563911379152	0.0807784601638991	0.183780457913519	0.0767581492908145	0	0.777932174550541	0.677225803292816
TCGA.AA.3520.01A.01R.0821.07	0.0281162135822731	0.214999210829773	0.113525254813051	0.0518266764947131	0.0832053896336007	0.0799046390964615	0.0931541938315706	0.0611024465107232	0.0950507854268959	0.100102616083922	0.0790125736970155	0	0.805268890600618	0.680889575228296
TCGA.AA.3520.11A.01R.A32Z.07	0.0406740923507942	0.144931351159565	0.102518774572166	0.0367380270834917	0.0942771443019588	0.0508793325458531	0.125610752394985	0.0775196592187656	0.0983894922054798	0.154290542450947	0.0741708317159934	0	0.593578924149153	0.80993130836038
TCGA.AA.3521.01A.01R.0821.07	0.0415689067153938	0.158525327371461	0.109872646573597	0.078057021996984	0.070360969569487	0.0673240785803392	0.0931075864654193	0.058743624065323	0.109582719971792	0.140140919747009	0.0727161989431939	0	0.827806097934901	0.652553645082956
TCGA.AA.3522.01A.01R.0821.07	0.0360535342741943	0.193834457194547	0.0874563308247801	0.0497659385418363	0.0788205667065272	0.0735010616441302	0.0990391187875599	0.0457313280337005	0.124106406761621	0.140554360911197	0.0711368963199065	0	0.773125739324721	0.699393197802752
TCGA.AA.3522.11A.01R.A32Z.07	0.0255017068126935	0.130186799732868	0.103873918219341	0.0393577844014439	0.0847855002585478	0.0478992940451815	0.140835378050607	0.0943359417431446	0.0653406139663143	0.195226861700234	0.0726562010696241	0	0.624145094177526	0.786221764992394
TCGA.AA.3524.01A.02R.0821.07	0.0574639948069514	0.181572777116181	0.0844256292122923	0.0343388619880902	0.0799064309294918	0.0869642787528842	0.0954517903339708	0.0737124963627445	0.163898025399102	0.0600470016591025	0.0822187134391891	0	0.730155664663467	0.739900048238348
TCGA.AA.3525.01A.02R.0826.07	0.0467326233541265	0.146163999952157	0.118036031906646	0.0531670441755254	0.0869138607368021	0.07172688192122	0.121817357461937	0.0196928441050509	0.070876203103398	0.189272851391175	0.0756003018919623	0	0.789103168006387	0.663513032208815
TCGA.AA.3525.11A.01R.A32Z.07	0.0308230234065615	0.124707302450173	0.114114742688254	0.048872884695235	0.0847829002784816	0.0490406635871094	0.144444772643216	0.0844682187567586	0.0437187208688781	0.20229412546325	0.0727326451620833	0	0.569402310820373	0.822261923366132
TCGA.AA.3526.01A.02R.A32Z.07	0.0572497916217282	0.184383309477403	0.0746016756078991	0.0570216911975759	0.0972582816645671	0.0850448465986156	0.0965743920664131	0.0744446890676836	0.132464842101304	0.0445207043393064	0.096435776257504	0	0.710402961189782	0.750207717904103
TCGA.AA.3527.01A.01R.0821.07	0.0479470077999737	0.241006401689096	0.107568446532594	0.0790302177853099	0.0954290466706751	0.0883374286365268	0.131324485366611	0.028918984751876	0.0218172752265341	0.0531050192163714	0.105515686324432	0	0.574732496273503	0.823278133680409
TCGA.AA.3527.11A.01R.A32Z.07	0.0220078290875698	0.119913143377837	0.111073944749526	0.0484002092973282	0.0912030222346825	0.0503872630921106	0.141171543669519	0.0877565644510838	0.0529029825589072	0.205096041255049	0.0700874562263868	0	0.657514563761926	0.761123186786338
TCGA.AA.3529.01A.02R.0821.07	0.047080602444328	0.185996428480446	0.105625178009347	0.0591968270681298	0.0709352239488337	0.0736610675389133	0.109661082575432	0.0654829445183547	0.124223634076665	0.0817191229068975	0.0764178884326529	0	0.588988516113532	0.817814582724035
TCGA.AA.3530.01A.01R.1022.07	0.0472050052309994	0.174155998460557	0.0999841427775526	0.0609353885005007	0.0725261614537982	0.067775189195104	0.0852916877138741	0.0500311963302922	0.121117434412408	0.155206121536536	0.0657716743883778	0	0.742252857463281	0.716257586096892
TCGA.AA.3531.01A.01R.0821.07	0.0548215322033466	0.152899065362673	0.124073238205088	0.062177042485606	0.05401294136386	0.0751303145806433	0.122226228743534	0.0749353102383073	0.0680853601705162	0.127273593302408	0.0843653733440165	0	0.74078948523006	0.711268483006239
TCGA.AA.3531.11A.01R.A32Z.07	0.0208417956085224	0.18052411292797	0.10899326962749	0.0433955330326408	0.0765780628904169	0.0372389607985356	0.141747638749327	0.0948627361648668	0.0724748785574718	0.147833339604582	0.075509672038176	0	0.732697644230002	0.717783782932915
TCGA.AA.3532.01A.01R.0821.07	0.0374048415594481	0.114016505831801	0.100492543307023	0.0597114498634488	0.0991024692341873	0.0746176089241594	0.11382069567819	0.0748859038581127	0.0813775095629896	0.175706025337188	0.068864446843453	0	0.777697705077675	0.67908949918201
TCGA.AA.3534.01A.01R.0821.07	0.0344525974055054	0.170567614359642	0.110347225219013	0.0522250932596881	0.0802304334456146	0.0842625823888684	0.0963028939534041	0.0608472951770367	0.118894863756011	0.113790883648112	0.0780785173871039	0	0.764397199515902	0.704454556569308
TCGA.AA.3534.11A.01R.A32Z.07	0.0295262571532738	0.121166328351609	0.117016378792084	0.0389931723090057	0.0918171317828785	0.053400091133582	0.149549627904283	0.0829812591479509	0.0499481904738385	0.190315986581705	0.0752855763697895	0	0.565678277361178	0.824803446839651
TCGA.AA.3538.01A.01R.0821.07	0.0487463585504907	0.185259834031893	0.101731106038637	0.0655245177807665	0.0787391502834157	0.0679983262166563	0.097773103319609	0.063287390826654	0.121324112082273	0.102223257378064	0.0673928434915407	0	0.821137533706009	0.672111546412535
TCGA.AA.3542.01A.02R.1873.07	0.0696383464856048	0.288039932442353	0.0863418561249121	0.0518049402760763	0.0752969547801426	0.0833821607221693	0.126815298849919	0.0724093685263478	0.0633142061975214	0	0.0829569355949539	0	0.630466373559602	0.799389515743985
